dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
dry_bean_uci,dry_bean_uci,181,181,L1-full,16,680,629,5.270026136189699,0.030939904041588306,285323264,0.9188395152405435,0.9294114446460898,0.26230823430181177,0.9930194821829216,,,,,,,,566.3962262948044,0.25,,,5,0,,,,,
dry_bean_uci,dry_bean_uci,181,181,L1-top8,16,680,8,0.2293374789878726,0.0012947707436978817,229138432,0.9232464193903782,0.9330369173947805,0.24089668050583274,0.9939918347074296,,,,,,,,566.3962262948044,0.25,8.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,181,181,L1-match,16,680,2,0.173226079903543,0.0009672478772699833,229138432,0.9206757253029747,0.9305171213709827,0.2414730119351036,0.9940009704192339,,,,,,,,566.3962262948044,0.25,2.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,181,181,SHIL-k8,16,680,8,0.18002317799255252,0.001247371081262827,229138432,0.9217774513404333,0.9313778043669119,0.2445147179557029,0.9938304443354475,,,,,,,,10.073238122742623,,8.0,,1,0,,,,,
dry_bean_uci,dry_bean_uci,181,181,SC-L1,16,680,1,0.1920830002054572,0.0009224875830113888,371945472,0.922879177377892,0.9327938145234829,0.24287786853930185,0.9939862459731434,,,,,,,,23031.02994933026,,4.0,0.9,80,0,2.0,1.0,0.2056499184968039,0.013109792319718247,0.21875971081652212
dry_bean_uci,dry_bean_uci,181,181,SC-SHIL,16,680,2,0.18465153686702251,0.0010150489397346973,303800320,0.9225119353654058,0.9325403957608714,0.24671595960802872,0.9935708620396912,,,,,,,,341.68065708642825,,4.0,0.9,80,0,1.0,2.0,0.21194508196282602,0.013301473465457183,0.21486958916831264
