dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,157,157,L1-full,86,0-7,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,87,5-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,88,4-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,89,2-6-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,90,0-2-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,91,9-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,92,1-3-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,93,11-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,94,2-3-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,95,9-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,96,2-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,97,1-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,98,4-10-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,99,1-2-3,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,100,7-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,101,6-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,102,4-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,103,0-6-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,104,4-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,105,0-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,106,1-3-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,107,0-6-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,108,5-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,109,0-1-3,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,110,6-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,111,1-7-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,112,4-10-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,113,0-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,114,2-6,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,115,0-2,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,116,13-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,117,12-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,118,0-1-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,119,0-3-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,120,13-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,121,9-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,122,5-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,123,1-6-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,124,10-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,125,0-1-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,126,1-2-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,127,3-5,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,128,0-1-2,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,129,8-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,130,3-6-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,131,0-3-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,132,11-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,133,1-2-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,134,4-5-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,135,5-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,136,2-3-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,137,0-2-3,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,138,2-6-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,139,0-2-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,140,5-7,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,141,5-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,142,5-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,143,0-2-6,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,144,5-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,145,6-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,146,11-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,147,5-11-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,148,11-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,149,0-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,150,3-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,151,5-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,152,5-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,153,5-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,154,3-6-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,155,0-3-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,156,1-5,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,157,4-9-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,158,5-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,159,2-5,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,160,0-6-7,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,161,10-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,162,4-5,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,163,0-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,164,1-6-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,165,0-1-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,166,6-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,167,1-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,168,4-9-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,169,4-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,170,2-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,171,4-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,172,7-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,173,2-6-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,174,1-6-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,175,0-2-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,176,4-5-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,177,0-1-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,178,6-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,179,10-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,180,0-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,181,5-10-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,182,4-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,183,7-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,184,3-7-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,185,5-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,186,2-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,187,10-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,188,5-10-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,189,4-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,190,3-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,191,5-6,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,192,0-5,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,193,12-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,194,4-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,195,4-5-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,196,1-3-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,197,4-5-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,198,2-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,199,2-3-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,200,4-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,201,3-4-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,202,3-4,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,203,4-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,204,3-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,205,2-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,206,3-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,207,1-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,208,2-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,209,1-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,210,6-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,211,0-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,212,10-11-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,213,3-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,214,1-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,215,2-14-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,216,3-5-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,217,1-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,218,10-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,219,1-2-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,220,6-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,221,11-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,222,2-11-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,223,3-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,224,10-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,225,3-12-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,226,10-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,227,1-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,228,0-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,229,4-5-9,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,230,5-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,231,8-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,232,2-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,233,7-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,234,7-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,235,8-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,236,3-6-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,237,7-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,238,2-5-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,239,9-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,240,3-5-14,3,
