dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
dry_bean_uci,dry_bean_uci,157,157,L1-full,16,680,610,5.337290158029646,0.029781778808683157,283082752,0.9239809034153507,0.9342927383744234,0.20072665285820682,0.9952739785121152,,,,,,,,582.3950544903055,0.25,,,5,0,,,,,
dry_bean_uci,dry_bean_uci,157,157,L1-top8,16,680,8,0.23459487641230226,0.00133877107873559,228552704,0.9250826294528094,0.9372258901973971,0.19467847260388887,0.9955143651590355,,,,,,,,582.3950544903055,0.25,8.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,157,157,L1-match,16,680,2,0.1835004733875394,0.001030209008604288,228552704,0.9239809034153507,0.9362352374732276,0.1983495339894722,0.9953273334095234,,,,,,,,582.3950544903055,0.25,2.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,157,157,SHIL-k8,16,680,8,0.21354133309796453,0.0013278517872095108,228552704,0.9254498714652957,0.9373831364975196,0.1957937473533313,0.9953541624051325,,,,,,,,10.06994962785393,,8.0,,1,0,,,,,
dry_bean_uci,dry_bean_uci,157,157,SC-L1,16,680,2,0.18369495496153831,0.0010111676529049873,371392512,0.9239809034153507,0.9362352374732276,0.19834953398951122,0.9953273334095234,,,,,,,,23618.219887059182,,4.0,0.9,80,0,1.0,2.0,0.20234266022380237,0.017122316845218685,0.21577541002630737
dry_bean_uci,dry_bean_uci,157,157,SC-SHIL,16,680,2,0.203963209874928,0.0010081692598760128,303226880,0.9217774513404333,0.9340053588356882,0.2029627368290559,0.9950880853765539,,,,,,,,365.6245274823159,,4.0,0.9,80,0,1.0,2.0,0.20955578502428907,0.01718611265865499,0.21612626206852642
