dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,chosen_q,chosen_pi,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling,selection_seconds,base_fit_count,selected_c,warning_count,execution_order,fit_unit
dry_bean_uci,dry_bean_uci,131,131,SC-L1-fixed-C,16,680,2,0.2155116560170427,0.0010239689727313817,345210880,0.9298567756151304,0.9411220706954204,0.19045383144243003,0.9960575122890643,,,,,,,,4,0.9,2,2,0.20059050015338237,0.010697736471056847,0.20701862087399975,5191.379612910037,80,1.0,0,2,logistic_fit
dry_bean_uci,dry_bean_uci,131,131,SC-SHIL-contemporary,16,680,2,0.1915229149744846,0.0010462499922141433,301178880,0.9272860815277267,0.9388544238265257,0.192663696085912,0.9959221386683329,,,,,,,,4,0.8,2,2,0.20401733062023053,0.010619243441593566,0.2061991070489942,345.414844406012,80,,0,1,screening_optimization
