dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,101,101,L1-full,1,9-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,2,10-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,3,3-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,4,9-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,5,1-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,6,7-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,7,9-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,8,12-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,9,9-10-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,10,12-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,11,2-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,12,4-11-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,13,6-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,14,0-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,15,3-7-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,16,10-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,17,1-3-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,18,3-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,19,1-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,20,4-5-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,21,1-7-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,22,1-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,23,4-5-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,24,13-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,25,5-11-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,26,3-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,27,1-3,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,28,7-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,29,10-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,30,3-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,31,2-7-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,32,9-10-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,33,3-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,34,2-3-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,35,14-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,36,1-2-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,37,1-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,38,0-3-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,39,3-6-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,40,11-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,41,5-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,42,7-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,43,2-3,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,44,5-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,45,2-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,46,3-6,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,47,1-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,48,0-3,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,49,0-6,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,50,0-7-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,51,6-7-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,52,1-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,53,7-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,54,4-11-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,55,1-6,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,56,5-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,57,1-6-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,58,0-1-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,59,0-1,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,60,1-3-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,61,4-13-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,62,1-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,63,7-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,64,9-12-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,65,1-2,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,66,9-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,67,12-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,68,6-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,69,8-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,70,2-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,71,0-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,72,4-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,73,11-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,74,11-13-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,75,1-2-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,76,6-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,77,4-11,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,78,9-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,79,11-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,80,0-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,81,2-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,82,4-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,83,3-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,84,13-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,85,0-2-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,86,2-6-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,87,4-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,88,4-12,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,89,2-3-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,90,5-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,91,0-6-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,92,1-2-3,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,93,2-6,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,94,3-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,95,0-2,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,96,2-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,97,9-10-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,98,1-3-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,99,11-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,100,0-1-3,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,101,5-11,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,102,2-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,103,9-10-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,104,5-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,105,3-6-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,106,0-3-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,107,1-6-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,108,0-1-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,109,1-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,110,0-3-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,111,5-13-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,112,5-11-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,113,1-3-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,114,4-5-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,115,0-1-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,116,1-2-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,117,0-1-2,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,118,6-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,119,12-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,120,0-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,121,4-10-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,122,2-6-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,123,0-2-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,124,2-3-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,125,3-5,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,126,0-2-3,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,127,11-12-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,128,1-7-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,129,5-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,130,11-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,131,0-6-7,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,132,9-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,133,4-11-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,134,4-11-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,135,0-2-6,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,136,5-12-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,137,3-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,138,6-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,139,4-9-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,140,4-10-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,141,9-11-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,142,0-6-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,143,4-12-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,144,0-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,145,4-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,146,5-11-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,147,5-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,148,4-5,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,149,5-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,150,7-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,151,1-2-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,152,1-5,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,153,10-11-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,154,2-5,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,155,10-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,156,4-13,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,157,5-6,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,158,0-5,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,159,7-12-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,160,1-10-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,161,7-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,162,2-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,163,4-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,164,3-6-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,165,0-3-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,166,4-5-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,167,1-6-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,168,1-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,169,0-1-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,170,0-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,171,1-6-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,172,2-6-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,173,0-2-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,174,6-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,175,0-1-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,176,2-12-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,177,3-4,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,178,2-7-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,179,6-7-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,180,0-7-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,181,13-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,182,8-15,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,183,1-2-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,184,12-13-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,185,4-9-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,186,2-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,187,4-5-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,188,1-12-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,189,11-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,190,2-3-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,191,3-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,192,5-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,193,1-7-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,194,5-10-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,195,3-14,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,196,3-7-10,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,197,3-12-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,198,5-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,199,1-10-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,200,7-9-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,201,1-3-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,202,5-10-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,203,4-10-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,204,1-9,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,205,4-9-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,206,5-11-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,207,5-10,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,208,11-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,209,3-11,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,210,0-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,211,6-12-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,212,2-4,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,213,3-7-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,214,3-4-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,215,10-11-13,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,216,3-5-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,217,2-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,218,2-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,219,3-11-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,220,10-11-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,221,1-4,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,222,3-4-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,223,10-13-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,224,3-5-14,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,225,4-7,2,
dry_bean_uci,dry_bean_uci,101,101,L1-full,226,10-14-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,227,6-10-12,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,228,7-13-15,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,229,3-5-11,3,
dry_bean_uci,dry_bean_uci,101,101,L1-full,230,3-12-14,3,
