model,n,selection_seconds_mean,selection_seconds_sd,selected_edges_mean,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,warning_count_total
SC-L1-fixed-C,10,5112.9726202194,161.42596386795358,2.1,0.9377644021255083,0.0036742101597036017,0.20530300535522072,0.019334127696288752,0
SC-SHIL-contemporary,10,348.3323506262037,10.456925466060632,2.8,0.9361299115780707,0.0031195479221854472,0.21001134968608187,0.01861843651372768,0
