dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
dry_bean_uci,dry_bean_uci,71,71,L1-full,16,680,678,6.2407969939522445,0.0325674400664866,242528256,0.9346309217774513,0.945449112223857,0.18710648661983248,0.9957947958068499,,,,,,,,594.7722847065888,1.0,,,5,0,,,,,
dry_bean_uci,dry_bean_uci,71,71,L1-top8,16,680,8,0.2533844537101686,0.0014970130287110806,196268032,0.9320602276900477,0.9440864131260478,0.18625525186341507,0.9960900454335057,,,,,,,,594.7722847065888,1.0,8.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,71,71,L1-match,16,680,2,0.23040093714371324,0.001037369016557932,196268032,0.9309585016525891,0.9431789219149779,0.18582722878258626,0.996126626628007,,,,,,,,594.7722847065888,1.0,2.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,71,71,SHIL-k8,16,680,8,0.22685234667733312,0.0013709720224142075,196268032,0.9305912596401028,0.9434397378123052,0.18952350641501875,0.9958990941184706,,,,,,,,10.079115892294794,,8.0,,1,0,,,,,
dry_bean_uci,dry_bean_uci,71,71,SC-L1,16,680,2,0.17790720611810684,0.001008128747344017,331919360,0.9320602276900477,0.9438740473338515,0.18575455447510023,0.9961360253955472,,,,,,,,23841.593289441895,,4.0,0.9,80,0,2.0,2.0,0.2110518846456989,0.011751235334933193,0.21737440219213455
dry_bean_uci,dry_bean_uci,71,71,SC-SHIL,16,680,2,0.20774202281609178,0.0010111690498888493,291749888,0.9287550495776716,0.941440856076668,0.19405870036582318,0.9957378988858464,,,,,,,,360.94939309498295,,4.0,0.9,80,0,1.0,2.0,0.21886989407611404,0.01165458078245417,0.21952809093309888
