dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
dry_bean_uci,dry_bean_uci,37,37,L1-full,16,680,622,6.0079918471165,0.028563405852764845,284553216,0.9291222915901579,0.9407250930356884,0.21378478961160147,0.9946251698727828,,,,,,,,571.446708759293,0.25,,,5,0,,,,,
dry_bean_uci,dry_bean_uci,37,37,L1-top8,16,680,8,0.19686538074165583,0.0013571721501648426,228978688,0.9283878075651855,0.9397907771721327,0.21114116119227164,0.995027972700869,,,,,,,,571.446708759293,0.25,8.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,37,37,L1-match,16,680,2,0.2039731228724122,0.0011420100927352905,228978688,0.9269188395152406,0.938025241226723,0.2136732825688805,0.9949238747075003,,,,,,,,571.446708759293,0.25,2.0,,5,0,,,,,
dry_bean_uci,dry_bean_uci,37,37,SHIL-k8,16,680,8,0.2175327599979937,0.0013005724176764488,228978688,0.9269188395152406,0.9384538319225452,0.21316798163033587,0.9949041055319408,,,,,,,,9.955593286082149,,8.0,,1,0,,,,,
dry_bean_uci,dry_bean_uci,37,37,SC-L1,16,680,2,0.197018981911242,0.0010262485593557358,371884032,0.9269188395152406,0.938025241226723,0.2136732825371405,0.9949238747075003,,,,,,,,23485.52048811782,,4.0,0.9,80,0,1.0,2.0,0.18124360737361758,0.010847912591989629,0.19153388338816296
dry_bean_uci,dry_bean_uci,37,37,SC-SHIL,16,680,2,0.2042147652246058,0.0010220492258667946,303693824,0.9239809034153507,0.9368966376663804,0.21648094884116412,0.994695170562807,,,,,,,,370.07365709450096,,4.0,0.9,80,0,2.0,2.0,0.18680431531259648,0.01138555019508115,0.19214003811029431
