dataset,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,auc_mean,train_seconds_mean,parameter_count_mean,support_precision_mean,support_recall_mean
breast_cancer,explicit_all_pairs,0.9631578947368421,0.021841929119278475,0.9602696314776462,0.023780308533389475,0.9900308179828323,0.1533608199999435,466.0,,
breast_cancer,factorization_machine,0.9508771929824562,0.026021749077528643,0.9469136030606696,0.028146292208040987,0.9875113081590318,1.8710596200020517,542.0,,
breast_cancer,hist_gradient_boosting,0.9543859649122807,0.020942695414584798,0.9509068133606714,0.022715248783026366,0.9892352824960098,1.4383519399998477,1200.6,,
breast_cancer,linear,0.9736842105263157,0.018608073189119657,0.9717451629697538,0.019872818778684322,0.9937326369933641,0.06836464000225533,31.0,,
breast_cancer,mlp,0.9701754385964912,0.022017369119317766,0.9678018096645549,0.02400835546890927,0.9926599866208449,1.767249019999872,1537.0,,
breast_cancer,shil_pair_k12,0.968421052631579,0.014678246079545187,0.9658171893791223,0.015872004625012325,0.9928766180199198,3.0085394999972777,1367.0,,
breast_cancer,shil_pair_k3,0.968421052631579,0.018189860836252382,0.9659547165776028,0.019617532700338985,0.9938661685877539,3.030214399995748,1367.0,,
breast_cancer,shil_pair_k6,0.9631578947368421,0.016873143913746804,0.9602521855998329,0.018187953056484088,0.9930076366900803,3.009266459994251,1367.0,,
breast_cancer,shil_pair_triple_k16,0.9719298245614034,0.021841929119278458,0.9698756465682221,0.023163175567733355,0.9937968898663299,7.629609840005287,13547.0,,
breast_cancer,shil_pair_triple_k4,0.9736842105263157,0.018608073189119657,0.9717451629697538,0.019872818778684322,0.9937981463284444,7.606271440006094,13547.0,,
breast_cancer,shil_pair_triple_k8,0.9701754385964912,0.022017369119317752,0.9680023917905715,0.023399006754916706,0.9937313805312495,7.635888340004021,13547.0,,
diabetes_openml37,explicit_all_pairs,0.7480519480519481,0.03417583731672928,0.7067674093906602,0.04157368658118683,0.8100270876144219,0.06369252000004053,37.0,,
diabetes_openml37,factorization_machine,0.7428571428571429,0.03632883306675161,0.7017344987095544,0.041786384502870776,0.8077281898001122,2.978996700004791,146.0,,
diabetes_openml37,hist_gradient_boosting,0.7506493506493507,0.0396582635963701,0.7139758924180281,0.04681587919816324,0.8121427686793836,0.9080599399923812,1392.4,,
diabetes_openml37,linear,0.7714285714285715,0.034482904019095456,0.7315104300103739,0.04157301925420916,0.8250856563643787,0.04097586000279989,9.0,,
diabetes_openml37,mlp,0.7545454545454545,0.014077586616025175,0.7128881480662559,0.010624970497686341,0.8156570078391487,1.551616060003289,833.0,,
diabetes_openml37,shil_pair_k12,0.7558441558441558,0.01980253335321675,0.715988464468462,0.024183521956001167,0.8182470681030367,2.5556818399956684,102.0,,
diabetes_openml37,shil_pair_k3,0.7597402597402597,0.03556639983799782,0.7192995049333604,0.04416316274457151,0.8147867239554145,2.5666960599948654,102.0,,
diabetes_openml37,shil_pair_k6,0.7467532467532467,0.030801405780860817,0.7054993971460312,0.03872268596158382,0.8226759726287094,2.5357782199949725,102.0,,
diabetes_openml37,shil_pair_triple_k16,0.7363636363636363,0.01754448842351468,0.6900074325975925,0.01689610253298358,0.8036706312140648,1.2349497000017435,270.0,,
diabetes_openml37,shil_pair_triple_k4,0.7571428571428571,0.02133983990279869,0.7130787699029523,0.026114696021192638,0.8195966609239541,1.2298437399993418,270.0,,
diabetes_openml37,shil_pair_triple_k8,0.7558441558441558,0.021339839902798682,0.7106961999285739,0.022751958315556663,0.8174205464571613,1.2281321400019807,270.0,,
synthetic_mixed,explicit_all_pairs,0.7607142857142858,0.02912411862553585,0.7605785957367539,0.02908443805718471,0.843122448979592,0.06321912000421434,137.0,,
synthetic_mixed,factorization_machine,0.7603571428571428,0.02373724147101051,0.7602072704963694,0.023713925995837704,0.8441913265306124,2.8343794000014895,290.0,,
synthetic_mixed,hist_gradient_boosting,0.7167857142857142,0.0198286666321304,0.716663362497801,0.02000473739168471,0.7929566326530612,2.6092703999980587,2557.8,,
synthetic_mixed,linear,0.5096428571428572,0.025834293376938232,0.5093581716563456,0.025859993248218752,0.5201913265306123,0.036439540001447314,17.0,,
