dataset,model,n,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,auc_mean,train_seconds_mean,parameter_count_mean,selected_edges_mean,support_precision_mean,support_recall_mean
breast_cancer,catboost,10,0.9517543859649124,0.02557435041598815,0.947514182769188,0.02847800724582932,0.9925311667593849,1.4761787999945226,30.0,,,
breast_cancer,l1_interactions_2,10,0.9578947368421054,0.016948978650513983,0.9544745987394038,0.018537962474437793,0.9929685997119669,4.89417867999291,466.0,141.8,,
breast_cancer,l1_interactions_2+3,10,0.9657894736842104,0.012020353679002636,0.9628369168047053,0.013215471156100281,0.9930328525849325,75.34120997000136,4526.0,2933.3,,
breast_cancer,lightgbm,10,0.956140350877193,0.02411172880478164,0.9527180833212563,0.026053571468324554,0.9899876975028465,0.13990401999326424,30.0,,,
breast_cancer,shil_pair_k12_ext,10,0.9587719298245615,0.018048303347381275,0.9554029780485175,0.01960711303886663,0.9905677714001493,0.34090484999469484,1367.0,12.0,,
breast_cancer,shil_pair_triple_k8_ext,10,0.9640350877192982,0.018236802490658083,0.9611949341085712,0.019511734629247983,0.9936060159406048,0.8812047399929724,13547.0,8.0,,
breast_cancer,xgboost,10,0.9535087719298245,0.019417494404542688,0.9495757748108986,0.021668537843599827,0.9911136067048284,0.860136660002172,30.0,,,
diabetes_openml37,catboost,10,0.7493506493506493,0.02923280175953961,0.7085693760451892,0.0353111690367849,0.8097785008060555,0.649447709985543,8.0,,,
diabetes_openml37,l1_interactions_2,10,0.7571428571428571,0.021030229959291994,0.7146389352350008,0.026063076648777078,0.8125126097515413,0.08165548000251874,37.0,17.4,,
diabetes_openml37,l1_interactions_2+3,10,0.7428571428571429,0.030179091009408434,0.6953616658178989,0.03243310072380182,0.7989729366018363,0.47075238000252284,93.0,33.4,,
diabetes_openml37,lightgbm,10,0.7298701298701299,0.024905887209770616,0.6918754909451025,0.03269230287901085,0.7871774186852647,0.3087997699913103,8.0,,,
diabetes_openml37,shil_pair_k12_ext,10,0.7512987012987014,0.0222954229988192,0.7097712628459238,0.026994604921665232,0.8083899371069183,0.2000710499996785,102.0,12.0,,
diabetes_openml37,shil_pair_triple_k8_ext,10,0.7519480519480519,0.020026032045403264,0.7043842721923773,0.025472138360693643,0.8050702444458283,0.13177286998834462,270.0,8.0,,
diabetes_openml37,xgboost,10,0.7448051948051948,0.03686649829860485,0.7086083174398136,0.043225784909321205,0.8055657090866319,0.521977570001036,8.0,,,
wine,catboost,10,0.9638888888888889,0.03476848769540481,0.9657249784339923,0.03337539508446851,0.9966455072705072,0.5876599599956535,13.0,,,
wine,l1_interactions_2,10,0.975,0.027623025722548728,0.9767394636015325,0.024957970878888472,0.9978906741406742,0.3257583200058434,276.0,13.7,,
wine,l1_interactions_2+3,10,0.975,0.0276230257225487,0.9762133446911058,0.026958934009676774,0.9984369103119104,2.306303590006428,1134.0,65.2,,
wine,lightgbm,10,0.9638888888888889,0.04908280844703173,0.9655713693824639,0.04754990058063014,0.9973496873496874,0.3267671000037808,13.0,,,
wine,shil_pair_k12_ext,10,0.961111111111111,0.02342427896421025,0.9625746304064513,0.022802553193971443,0.9943173261923262,0.3639154399977997,354.0,12.0,,
wine,shil_pair_triple_k8_ext,10,0.9722222222222221,0.037037037037037056,0.9730374981093306,0.03664867896777099,0.9977503052503053,0.3061214899935294,1498.0,8.0,,
wine,xgboost,10,0.9666666666666666,0.03414646095293665,0.9680906193220036,0.03298993202861523,0.9971332371332371,0.4905081100005191,13.0,,,
