dataset,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,roc_auc_ovr_mean,roc_auc_ovr_sd,roc_auc_ovr_ci95_low,roc_auc_ovr_ci95_high,selected_edges_mean,selected_edges_sd,selected_edges_ci95_low,selected_edges_ci95_high
breast_cancer,l1_interactions_2,10,0.9578947368421054,0.016948978650513948,0.9457710102666783,0.9700184634175324,0.9929685997119669,0.003673604557341408,0.9903408438974242,0.9955963555265097,141.8,46.939204178265406,108.22404897311173,175.3759510268883
breast_cancer,l1_interactions_2+3,10,0.9657894736842106,0.012020353679002603,0.9571912280701755,0.9743877192982457,0.9930328525849325,0.003241071371571386,0.9907144908753209,0.995351214294544,2933.3,151.25331952280143,2825.107410503492,3041.4925894965086
breast_cancer,shil_pair_triple_k8_ext,10,0.9640350877192982,0.018236802490658083,0.9509901714700173,0.9770800039685792,0.993606015940605,0.004533358089504086,0.9903632722284946,0.9968487596527155,8.0,0.0,8.0,8.0
diabetes_openml37,l1_interactions_2,10,0.7571428571428571,0.02103022995929199,0.7420997820937846,0.7721859321919297,0.8125126097515413,0.033287365032441535,0.7887019176507807,0.8363233018523019,17.4,2.2705848487901865,15.775834294168233,19.024165705831766
diabetes_openml37,l1_interactions_2+3,10,0.7428571428571429,0.03017909100940845,0.7212698215655499,0.7644444641487359,0.7989729366018363,0.03593940530262633,0.7732652209832742,0.8246806522203984,33.4,23.69341211767055,16.451931560204272,50.348068439795725
diabetes_openml37,shil_pair_triple_k8_ext,10,0.7519480519480519,0.02002603204540326,0.7376232869037673,0.7662728169923365,0.8050702444458281,0.031769846552992656,0.7823450442497634,0.8277954446418928,8.0,0.0,8.0,8.0
wine,l1_interactions_2,10,0.9749999999999999,0.02762302572254871,0.9552410506289702,0.9947589493710295,0.9978906741406741,0.002963918001134268,0.9957705622343057,1.0000107860470424,13.7,4.498147766951785,10.482442485362538,16.917557514637462
wine,l1_interactions_2+3,10,0.975,0.027623025722548714,0.9552410506289704,0.9947589493710296,0.9984369103119104,0.0030294450422667595,0.9962699264407843,1.0006038941830366,65.2,31.072674669411885,42.973491876590245,87.42650812340976
wine,shil_pair_triple_k8_ext,10,0.9722222222222221,0.037037037037037056,0.9457293627137003,0.9987150817307439,0.9977503052503053,0.0035639090894084994,0.9952010153945205,1.00029959510609,8.0,0.0,8.0,8.0
