phase,base_method,half_index,half_rows,fit_rows,inner_val_rows,active_edges,selected_c,fit_seconds,warning_count,warnings,dataset,scenario,data_seed,split_seed
tuning_train,l1_fixed,0,4081,4081,0,678,1.0,52.0114865800133,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,1,4085,4085,0,680,1.0,56.34952336800052,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,2,4081,4081,0,677,1.0,58.02551509300247,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,3,4085,4085,0,678,1.0,55.839370833011344,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,4,4081,4081,0,680,1.0,60.00612865702715,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,5,4085,4085,0,678,1.0,56.54592774499906,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,6,4081,4081,0,679,1.0,56.11431251000613,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,7,4085,4085,0,672,1.0,61.63527409697417,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,8,4081,4081,0,670,1.0,51.3634060829645,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,9,4085,4085,0,678,1.0,61.25427791295806,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,10,4081,4081,0,679,1.0,56.40627299103653,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,11,4085,4085,0,679,1.0,48.57061689795228,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,12,4081,4081,0,680,1.0,56.00858140195487,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,13,4085,4085,0,679,1.0,65.08732445101487,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,14,4081,4081,0,678,1.0,52.32437473197933,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,15,4085,4085,0,680,1.0,59.18389605503762,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,16,4081,4081,0,680,1.0,54.711760520003736,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,17,4085,4085,0,680,1.0,55.406414230004884,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,18,4081,4081,0,678,1.0,54.462615877971984,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,19,4085,4085,0,680,1.0,56.348846342996694,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,20,4081,4081,0,680,1.0,55.005016092036385,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,21,4085,4085,0,678,1.0,58.91194745898247,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,22,4081,4081,0,680,1.0,59.271281055000145,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,23,4085,4085,0,680,1.0,56.04220831603743,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,24,4081,4081,0,680,1.0,53.10476875299355,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,25,4085,4085,0,680,1.0,65.77723241702188,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,26,4081,4081,0,679,1.0,54.69457940099528,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,27,4085,4085,0,680,1.0,54.32826015702449,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,28,4081,4081,0,680,1.0,51.06588865199592,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,29,4085,4085,0,680,1.0,57.90462392702466,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,30,4081,4081,0,680,1.0,55.818348706001416,0,,dry_bean_uci,dry_bean_uci,53,53
tuning_train,l1_fixed,31,4085,4085,0,677,1.0,51.38035234500421,0,,dry_bean_uci,dry_bean_uci,53,53
